announce_date;number_of_suspected_case_repoted_to_cdc;number_of_suspected_case_repoted_to_cdc;number_of_suspected_case_repoted_to_cdc;number_of_local_positive_cases;number_of_positive_cases_from_panshi_ship;number_of_unknown_positive_cases;dead;recovery;hospital_quarantine_reported;note;reference
2021-09-24 ;3241201;3223684;1543;14579;36;15;841;;;指揮中心統計，截至目前國內累計3,241,201例新型冠狀病毒肺炎相關通報(含3,223,684例排除)，其中16,176例確診，分別為1,543例境外移入，14,579例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計841例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/BeJbnf4Gy3nJ7PjffmsTNw?typeid=9
2021-09-23 ;3216611;3199476;1536;14578;36;15;841;;;指揮中心統計，截至目前國內累計3,216,611例新型冠狀病毒肺炎相關通報(含3,199,476例排除)，其中16,168例確診，分別為1,536例境外移入，14,578例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計841例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/BeJbnf4Gy3nJ7PjffmsTNw?typeid=9
2021-09-22 ;3191134;3173736;1527;14578;36;15;841;;;指揮中心統計，截至目前國內累計3,191,134例新型冠狀病毒肺炎相關通報(含3,173,736例排除)，其中16,159例確診，分別為1,527例境外移入(原1例本土病例(案16254)疫調後改為自英國境外移入)，14,578例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計841例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/5S9o1jB0qj14o375-THOMA?typeid=9
2021-09-21 ;3173829;3156928;1520;14578;36;15;840;;;指揮中心統計，截至目前國內累計3,173,829例新型冠狀病毒肺炎相關通報(含3,156,928例排除)，其中16,152例確診，分別為1,520例境外移入，14,578例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計840例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/hfasZm-24Z_zKe9F_XvgDA?typeid=9
2021-09-20 ;3154941;3137397;1515;14578;36;15;840;;;指揮中心統計，截至目前國內累計3,154,941例新型冠狀病毒肺炎相關通報(含3,137,397例排除)，其中16,147例確診，分別為1,515例境外移入，14,578例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計840例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/LeISWauYLM7PDvkuMKjSEw?typeid=9
2021-09-19 ;3142093;3124360;1511;14576;36;15;840;;;指揮中心統計，截至目前國內累計3,142,093例新型冠狀病毒肺炎相關通報(含3,124,360例排除)，其中16,141例確診，分別為1,511例境外移入，14,576例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計840例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/spDFzUjv7sA2pSWp0bPXnw?typeid=9
2021-09-18 ;3127179;3109042;1500;14575;36;15;839;;;指揮中心統計，截至目前國內累計3,127,179例新型冠狀病毒肺炎相關通報(含3,109,042例排除)，其中16,129例確診，分別為1,500例境外移入，14,575例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/RQSCG-SwBUPv7bRP1Sp5OA?typeid=9
2021-09-17 ;3104233;3086845;1494;14575;36;15;839;;;指揮中心統計，截至目前國內累計3,104,233例新型冠狀病毒肺炎相關通報(含3,086,845例排除)，其中16,123例確診，分別為1,494例境外移入，14,575例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/byygl_Vhc802F19_JQAN2w?typeid=9
2021-09-16 ;3082957;3065218;1488;14573;36;15;839;;;指揮中心統計，截至目前國內累計3,082,957例新型冠狀病毒肺炎相關通報(含3,065,218例排除)，其中16,115例確診，分別為1,488例境外移入，14,573例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/fy_t3gfUfNGM6x-CR6q22A?typeid=9
2021-09-15 ;3057142;3039848;1478;14571;36;15;839;;;指揮中心統計，截至目前國內累計3,057,142例新型冠狀病毒肺炎相關通報(含3,039,848例排除)，其中16,103例確診，分別為1,478例境外移入，14,571例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/G37NdiMeLNMQr3kLi-uqcA?typeid=9
2021-09-14 ;3028468;3011399;1474;14570;36;15;839;;;指揮中心統計，截至目前國內累計3,028,468例新型冠狀病毒肺炎相關通報(含3,011,399例排除)，其中16,098例確診，分別為1,474例境外移入，14,570例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/W196H8qkJGfIOVIQAJ-jeA?typeid=9
2021-09-13 ;3005313;2988645;1471;14568;36;15;839;;;指揮中心統計，截至目前國內累計3,005,313例新型冠狀病毒肺炎相關通報(含2,988,645例排除)，其中16,093例確診，分別為1,471例境外移入，14,568例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/B3jVw1ZBkJ0AUo5p0q6AoQ?typeid=9
2021-09-12 ;2991387;2973728;1468;14566;36;15;839;;;指揮中心統計，截至目前國內累計2,991,387例新型冠狀病毒肺炎相關通報(含2,973,728例排除)，其中16,088例確診，分別為1,468例境外移入，14,566例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/E0VoYSp-VY8DMzE7-9uPUw?typeid=9
2021-09-11 ;2965908;2948529;1457;14563;36;15;839;;;指揮中心統計，截至目前國內累計2,965,908例新型冠狀病毒肺炎相關通報(含2,948,529例排除)，其中16,074例確診，分別為1,457例境外移入，14,563例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/89ILPvj_5_ARiqy8oyLQ4A?typeid=9
2021-09-10 ;2938839;2921268;1452;14563;36;15;839;;;指揮中心統計，截至目前國內累計2,938,839例新型冠狀病毒肺炎相關通報(含2,921,268例排除)，其中16,069例確診，分別為1,452例境外移入，14,563例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計839例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/rFB5EmwGsyKbpr0QYSaR1Q?typeid=9
2021-09-09 ;2911463;2894136;1447;14561;36;15;838;;;指揮中心統計，截至目前國內累計2,911,463例新型冠狀病毒肺炎相關通報(含2,894,136例排除)，其中16,062例確診，分別為1,447例境外移入，14,561例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計838例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/H474DjVcjn1Ua2xWWumCzg?typeid=9
2021-09-08 ;2881111;2864293;1445;14557;36;15;837;;;指揮中心統計，截至目前國內累計2,881,111例新型冠狀病毒肺炎相關通報(含2,864,293例排除)，其中16,056例確診，分別為1,445例境外移入，14,557例本土病例，36例敦睦艦隊、3例航空器感染(原公布之境外移入個案16119，經病毒定序後改判為航空器感染)、1例不明及14例調查中；另累計110例移除為空號。2020年起累計837例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/5kEuMlHU9Y-DoKkOdf97vw?typeid=9
2021-09-07 ;2849565;2832159;1444;14550;36;15;837;;;指揮中心統計，截至目前國內累計2,849,565例新型冠狀病毒肺炎相關通報(含2,832,159例排除)，其中16,047例確診，分別為1,444例境外移入，14,550例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計837例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/JoxcvPJ411tf00PljOrxsQ?typeid=9
2021-09-06 ;2819374;2801429;1440;14542;36;15;837;;;指揮中心統計，截至目前國內累計2,819,374例新型冠狀病毒肺炎相關通報(含2,801,429例排除)，其中16,035例確診，分別為1,440例境外移入，14,542例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計837例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/Od_A3iAG4ysQosgMWpGqSA?typeid=9
2021-09-05 ;2801846;2784487;1433;14533;36;15;837;;;指揮中心統計，截至目前國內累計2,801,846例新型冠狀病毒肺炎相關通報(含2,784,487例排除)，其中16,019例確診，分別為1,433例境外移入，14,533例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計837例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/61oub4oHTSlW-_oCA1YdOQ?typeid=9
2021-09-04 ;2779364;2761367;1429;14531;36;15;837;;;指揮中心統計，截至目前國內累計2,779,364例新型冠狀病毒肺炎相關通報(含2,761,367例排除)，其中16,013例確診，分別為1,429例境外移入，14,531例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計837例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/6V7mJ1TVswmrP0rIagUkcA?typeid=9
2021-09-03 ;2756726;2739013;1428;14531;36;15;837;;;指揮中心統計，截至目前國內累計2,756,726例新型冠狀病毒肺炎相關通報(含2,739,013例排除)，其中16,012例確診，分別為1,428例境外移入，14,531例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計837例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/VICcPtkDqUlO9WAGsm8BTw?typeid=9
2021-09-02 ;2733767;2716052;1424;14529;36;15;837;;;指揮中心統計，截至目前國內累計2,733,767例新型冠狀病毒肺炎相關通報(含2,716,052例排除)，其中16,006例確診，分別為1,424例境外移入，14,529例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計 837例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/qcMPRG9-1Dg7e7wt43OkCQ?typeid=9
2021-09-01 ;2707449;2690627;1420;14528;36;15;836;;;指揮中心統計，截至目前國內累計2,707,449例新型冠狀病毒肺炎相關通報(含2,690,627例排除)，其中16,001例確診，分別為1,420例境外移入(原1例本土病例案16087，其8月30日血清抗體檢驗結果顯示為非近期感染，改判為美國境外移入)，14,528例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計累計836例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/vFdpdZiD4vB9xXW_jqDIoQ?typeid=9
2021-08-31 ;2677839;2660833;1414;14528;36;15;835;;;指揮中心統計，截至目前國內累計2,677,839例新型冠狀病毒肺炎相關通報(含2,660,833例排除)，其中15,995例確診，分別為1,414例境外移入，14,528例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計835例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/xs4MNour4QiZwwMnVfvpKw?typeid=9
2021-08-30 ;2651089;2633030;1413;14525;36;15;834;;;指揮中心統計，截至目前國內累計2,651,089例新型冠狀病毒肺炎相關通報(含2,633,030例排除)，其中15,991例確診，分別為1,413例境外移入，14,525例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計834例COVID-19死亡病例，其中825例本土;https://www.cdc.gov.tw/Bulletin/Detail/z1vVcNoM5rtpdCLtlpI53w?typeid=9
2021-08-29 ;2637402;2619709;1408;14522;36;15;834;;;指揮中心統計，截至目前國內累計2,637,402例新型冠狀病毒肺炎相關通報(含2,619,709例排除)，其中15,983例確診，分別為1,408例境外移入，14,522例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計834例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/HJD22rw3XEPUcz_Vz-75Ug?typeid=9
2021-08-28 ;2618184;2600433;1398;14509;36;15;833;;;指揮中心統計，截至目前國內累計2,618,184例新型冠狀病毒肺炎相關通報(含2,600,433例排除)，其中15,960例確診，分別為1,398例境外移入，14,509例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。 2020年起累計833例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/A8sZbjImqVaGG7Xktvmigg?typeid=9
2021-08-27 ;2596704;2579632;1392;14509;36;15;833;;;指揮中心統計，截至目前國內累計2,596,704例新型冠狀病毒肺炎相關通報(含2,579,632例排除)，其中15,954例確診，分別為1,392例境外移入，14,509例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計833例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/HlZnsSTec4DWLUImDV3zSA?typeid=9
2021-08-26 ;2573538;2556336;1385;14509;36;15;832;;;指揮中心統計，截至目前國內累計2,573,538例新型冠狀病毒肺炎相關通報(含2,556,336例排除)，其中15,947例確診，分別為1,385例境外移入，14,509例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計832例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/MCsgPQYHX-7Y1rwdp37gRg?typeid=9
2021-08-25 ;2548825;2531924;1379;14507;36;15;830;;;指揮中心統計，截至目前國內累計2,548,825例新型冠狀病毒肺炎相關通報(含2,531,924例排除)，其中15,939例確診，分別為1,379例境外移入，14,507例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計830例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/uqw6Rnia5LLT408IUDG9Bw?typeid=9
2021-08-24 ;2524269;2507456;1378;14507;36;15;829;;;指揮中心統計，截至目前國內累計2,524,269例新型冠狀病毒肺炎相關通報(含2,507,456例排除)，其中15,938例確診，分別為1,378例境外移入，14,507例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計829例COVID-19死亡病例，其中821例本土，個案居住縣市分布為新北市408例、臺北市314例、基隆市28例、桃園市26例、彰化縣15例、新竹縣12例;
2021-08-23 ;2502861;2485203;1373;14506;36;15;828;;;指揮中心統計，截至目前國內累計2,502,861例新型冠狀病毒肺炎相關通報(含2,485,203例排除)，其中15,932例確診，分別為1,373例境外移入，14,506例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計828例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/7D5qw03O_5mh2bLiTxZz9A?typeid=9
2021-08-22 ;2489074;2471769;1371;14502;36;15;828;;;指揮中心統計，截至目前國內累計2,489,074例新型冠狀病毒肺炎相關通報(含2,471,769例排除)，其中15,926例確診，分別為1,371例境外移入，14,502例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計828例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/AXNRv5f-4_d2K3Asg1uPVw?typeid=9
2021-08-21 ;2472606;2455074;1367;14496;36;15;828;;;指揮中心統計，截至目前國內累計2,472,606例新型冠狀病毒肺炎相關通報(含2,455,074例排除)，其中15,916例確診，分別為1,367例境外移入，14,496例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計828例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/TMBzM2ScpzGt4E13V2gfiA?typeid=9
2021-08-20 ;2450350;2433271;1359;14494;36;15;827;;;指揮中心統計，截至目前國內累計2,450,350例新型冠狀病毒肺炎相關通報(含2,433,271例排除)，其中15,906例確診，分別為1,359例境外移入，14,494例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計827例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/zrW7NHh2Fvz07rrCKMjwkw?typeid=9
2021-08-19 ;2429462;2411951;1356;14488;36;15;826;;;指揮中心統計，截至目前國內累計2,429,464例新型冠狀病毒肺炎相關通報(含2,411,951例排除)，其中15,897例確診，分別為1,356例境外移入，14,488例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計826例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/ec1AizBRzil-FR1eJbYJGA?typeid=9
2021-08-18 ;2407073;2389646;1351;14487;36;15;821;;;指揮中心統計，截至目前國內累計2,407,073例新型冠狀病毒肺炎相關通報(含2,389,646例排除)，其中15,891例確診，分別為1,351例境外移入，14,487例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計821例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/MCSodz6QzYMEGxgwoZMdYg?typeid=9
2021-08-17 ;2382988;2365884;1346;14481;36;15;821;;;指揮中心統計，截至目前國內累計 2,382,988例新型冠狀病毒肺炎相關通報(含2,365,884例排除)，其中15,880例確診，分別為1,346例境外移入，14,481例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計821例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/oC4Rci1Mx3UtM8nKYumVpA?typeid=9
2021-08-16 ;2361186;2343668;1332;14477;36;15;821;;;指揮中心統計，截至目前國內累計2,361,186例新型冠狀病毒肺炎相關通報(含2,343,668例排除)，其中15,862例確診，分別為1,332例境外移入，14,477例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。 2020年起累計821例COVID-19死亡病例;https://www.cdc.gov.tw/Bulletin/Detail/-6VaCXZESXPQ3aQy2TjWLQ?typeid=9
2021-08-15 ;2348221;2331010;1330;14469;36;15;821;;;指揮中心統計，截至目前國內累計2,348,221例新型冠狀病毒肺炎相關通報(含2,331,010例排除)，其中15,852例確診，分別為1,330例境外移入，14,469例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計821例COVID-19死亡病例，其中813例本土，個案居住縣市分布為新北市402例、臺北市313例、基隆市28例、桃園市26例、彰化縣15例、新竹縣12例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/v10aCW4aH1oGA9oNFxxJ_g?typeid=9
2021-08-14 ;2330539;2312858;1323;14467;36;15;821;;;指揮中心統計，截至目前國內累計2,330,539例新型冠狀病毒肺炎相關通報(含2,312,858例排除)，其中15,843例確診，分別為1,323例境外移入，14,467例本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計110例移除為空號。2020年起累計821例COVID-19死亡病例，其中813例本土，個案居住縣市分布為新北市402例、臺北市313例、基隆市28例、桃園市26例、彰化縣15例、新竹縣12例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/4xa8MuLOUCL1bD8rUdUdGQ?typeid=9
2021-08-13 ;2309241;2292428;1319;14464;36;15;819;;;指揮中心統計，截至目前國內累計2,309,241例新型冠狀病毒肺炎相關通報(含2,292,428例排除)，其中15,836例確診，分別為1,319例境外移入，14,464本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另新增2例空號病例(案4166、案9260)，共累計110例移除為空號。2020年起累計819例COVID-19死亡病例，其中811例本土，個案居住縣市分布為新北市402例、臺北市312例、基隆市28例、桃園市25例、彰化縣15例、新竹縣12例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/koz0rbDV2yhLLdSUW1t2Iw?typeid=9
2021-08-12 ;2289602;2272067;1305;14462;36;15;817;;;指揮中心統計，截至目前國內累計2,289,602例新型冠狀病毒肺炎相關通報(含2,272,067例排除)，其中15,820例確診，分別為1,305例境外移入，14,462本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計108例移除為空號。2020年起累計817例COVID-19死亡病例，其中809例本土，個案居住縣市分布為新北市402例、臺北市311例、基隆市28例、桃園市24例、彰化縣15例、新竹縣12例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/QsICUamqs_LK2XHX3n_KvA?typeid=9
2021-08-11 ;2268145;2251025;1303;14458;36;15;816;;;指揮中心統計，截至目前國內累計2,268,145例新型冠狀病毒肺炎相關通報(含2,251,025例排除)，其中15,814例確診，分別為1,303例境外移入，14,458本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計108例移除為空號。2020年起累計816例COVID-19死亡病例，其中808例本土，個案居住縣市分布為新北市401例、臺北市311例、基隆市28例、桃園市24例、彰化縣15例、新竹縣12例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/SjX7QJUzmOmhDTJFl-Nouw?typeid=9
2021-08-10 ;2243540;2226482;1299;14446;36;15;814;;;指揮中心統計，截至目前國內累計2,243,540例新型冠狀病毒肺炎相關通報(含2,226,482例排除)，其中15,798例確診，分別為1,299例境外移入，14,446本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計108例移除為空號。2020年起累計814例COVID-19死亡病例，其中806例本土，個案居住縣市分布為新北市401例、臺北市309例、基隆市28例、桃園市24例、彰化縣15例、新竹縣12例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/wmThnLvTBe8aSq-XJfi7Hw?typeid=9
2021-08-09 ;2221156;2204067;1294;14443;36;15;813;;;指揮中心統計，截至目前國內累計2,221,156例新型冠狀病毒肺炎相關通報(含2,204,067例排除)，其中15,790例確診，分別為1,294例境外移入，14,443本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計108例移除為空號。2020年起累計813例COVID-19死亡病例，其中805例本土，個案居住縣市分布為新北市401例、臺北市309例、基隆市28例、桃園市24例、彰化縣15例、新竹縣11例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/QHHV7y8uMR4ZjqB6CnjwjQ?typeid=9
2021-08-08 ;2208224;2191057;1290;14439;36;15;809;;;指揮中心統計，截至目前國內累計2,208,224例新型冠狀病毒肺炎相關通報(含2,191,057例排除)，其中15,782例確診，分別為1,290例境外移入，14,439本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計108例移除為空號。2020年起累計809例COVID-19死亡病例，其中801例本土，個案居住縣市分布為新北市398例、臺北市309例、基隆市28例、桃園市24例、彰化縣14例、新竹縣11例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/z7XCUKlXoubnJKPp0gzpng?typeid=9
2021-08-07 ;2191907;2174487;1287;14435;36;15;806;;;指揮中心統計，截至目前國內累計2,191,907例新型冠狀病毒肺炎相關通報(含2,174,487例排除)，其中15,775例確診，分別為1,287例境外移入(原公布之本土個案15105，疫調後改判境外移入)，14,435本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計108例移除為空號。2020年起累計806例COVID-19死亡病例，其中798例本土，個案居住縣市分布為新北市397例、臺北市307例、基隆市28例、桃園市24例、彰化縣14例、新竹縣11例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/rEkGqTzLoF3TtCb1mBaaSg?typeid=9
2021-08-06 ;2170926;2153856;1282;14430;36;15;794;;;指揮中心統計，截至目前國內累計2,170,926例新型冠狀病毒肺炎相關通報(含2,153,856例排除)，其中15,765例確診，分別為1,282例境外移入，14,430本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計108例移除為空號。2020年起累計794例COVID-19死亡病例，其中786例本土，個案居住縣市分布為新北市393例、臺北市300例、基隆市27例、桃園市24例、彰化縣14例、新竹縣11例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/bv-PSugy2Wnhnn4oUPWdfw?typeid=9
2021-08-05 ;2152917;2135371;1280;14420;36;15;791;;;指揮中心統計，截至目前國內累計2,152,917例新型冠狀病毒肺炎相關通報(含2,135,371例排除)，其中15,753例確診，分別為1,280例境外移入，14,420本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；另累計108例移除為空號。2020年起累計791例COVID-19死亡病例，其中783例本土，個案居住縣市分布為新北市393例、臺北市297例、基隆市27例、桃園市24例、彰化縣14例、新竹縣11例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/kYO4SKzwdY_NFeeBFlg-VQ?typeid=9
2021-08-04 ;2128419;2111269;1275;14414;36;15;791;;;指揮中心統計，截至目前國內累計2,128,419例新型冠狀病毒肺炎相關通報(含2,111,269例排除)，其中15,742例確診，分別為1,275例境外移入，14,414本土病例，36例敦睦艦隊、2例航空器感染、1例不明及14例調查中；無新增空號病例，累計108例移除為空號。2020年起累計791例COVID-19死亡病例，其中783例本土，個案居住縣市分布為新北市393例、臺北市297例、基隆市27例、桃園市24例、彰化縣14例、新竹縣11例、臺中市4例、苗栗縣3例、宜蘭縣及花蓮縣各2例，臺東縣、雲林縣、臺南市、南投縣、高雄市及屏東縣各1例；另8例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/NehaPSl3BKRwvHBo5_eSHw?typeid=9
